DateofSale(dd/mm/yyyy),Address,PostalCode,County,Price(€),NotFullMarketPrice,VATExclusive,DescriptionofProperty,PropertySizeDescription,percent,VAT,Year,Month,Agent Commission
2014-01-05,"BAILE AN GHOILIN, AN DAINGEAN, KERRY",N/A,Kerry,64545.0,Yes,No,Second-Hand Dwelling house /Apartment,,0.012695188523549577,8713.575,2014,1,968.175
2010-04-29,"16 Marlfield Grove, Tallaght",N/A,Dublin,162000.0,No,No,Second-Hand Dwelling house /Apartment,,0.012695188523549577,21870.0,2010,4,2430.0
2019-01-18,"POLERAGH, KILNALECK, CO CAVAN",N/A,Cavan,86500.0,No,No,Second-Hand Dwelling house /Apartment,,0.012695188523549577,11677.5,2019,1,1297.5
2018-11-28,"60 PRIORY GATE, ATHBOY, MEATH",N/A,Meath,240000.0,No,No,Second-Hand Dwelling house /Apartment,,0.012695188523549577,32400.000000000004,2018,11,3600.0
2013-03-07,"20 Stameen Lawns, Drogheda, County Louth",N/A,Louth,160000.0,No,No,Second-Hand Dwelling house /Apartment,,0.012695188523549577,21600.0,2013,3,2400.0
2012-07-09,"No. 13 Cois Riasc, Bantry",N/A,Cork,135000.0,No,No,Second-Hand Dwelling house /Apartment,,0.012695188523549577,18225.0,2012,7,2025.0
2020-05-13,"78 O'RAHILLY'S VILLAS, TRALEE, CO KERRY",N/A,Kerry,135000.0,No,No,Second-Hand Dwelling house /Apartment,,0.012695188523549577,18225.0,2020,5,2025.0
2019-07-10,"71 GLENTOW RD, WHITEHALL,,Dublin 9",Dublin 9,Dublin,315000.0,No,No,Second-Hand Dwelling house /Apartment,,0.012695188523549577,42525.0,2019,7,4725.0
2019-01-10,"10 BRIOT DR, TEMPLARS HALL, WATERFORD",N/A,Waterford,320000.0,No,No,Second-Hand Dwelling house /Apartment,,0.012695188523549577,43200.0,2019,1,4800.0
2021-05-05,"6 7 8 9 10 11 12 13 14 15 16, Castle Quay  Kilgobbin, BALLINADEE",N/A,Cork,150000.0,No,No,Second-Hand Dwelling house /Apartment,,0.012695188523549577,20250.0,2021,5,2250.0
2015-03-24,"SLIEVE, DUNMORE, CO. GALWAY",N/A,Galway,27500.0,No,No,Second-Hand Dwelling house /Apartment,,0.012695188523549577,3712.5000000000005,2015,3,412.5
2019-09-07,"86 Millquarter, Knockmullen, Gorey",N/A,Wexford,290000.0,No,Yes,New Dwelling house /Apartment,,0.06341154090044387,0.0,2019,9,4350.0
2021-12-14,"CARROWREAGH, ELPHIN, CASTLEREA",N/A,Roscommon,245000.0,No,Yes,New Dwelling house /Apartment,,0.06341154090044387,0.0,2021,12,3675.0
2016-12-21,"5 ARRAN QUAY,,Dublin 7,,Dublin",Dublin 7,Dublin,450000.0,No,No,Second-Hand Dwelling house /Apartment,,0.012695188523549577,60750.00000000001,2016,12,6750.0
2013-10-09,"26 ARD NA GREINE, BANTRY",N/A,Cork,220264.0,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,0.06341154090044387,0.0,2013,10,3303.96
2010-12-17,"Apartment 410, Glenlara House, Mount Kennett Place Dock Road",N/A,Limerick,65000.0,No,No,Second-Hand Dwelling house /Apartment,,0.012695188523549577,8775.0,2010,12,975.0
2011-12-23,"26 St Benildus Villas, Navan",N/A,Meath,30165.0,Yes,No,Second-Hand Dwelling house /Apartment,,0.012695188523549577,4072.275,2011,12,452.47499999999997
2014-04-14,"4 Alderwood, Hollystown,,Dublin 15",Dublin 15,Dublin,299000.0,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,0.06341154090044387,0.0,2014,4,4485.0
2017-09-21,"117 BOROIMHE BEECH, SWORDS,,Dublin",N/A,Dublin,315000.0,No,No,Second-Hand Dwelling house /Apartment,,0.012695188523549577,42525.0,2017,9,4725.0
2010-11-16,"80 Springfort, Montenotte, Cork",N/A,Cork,270000.0,No,No,Second-Hand Dwelling house /Apartment,,0.012695188523549577,36450.0,2010,11,4050.0
2017-08-02,"CLOONSCOTT, MOYDOW, CO LONGFORD",N/A,Longford,45000.0,No,No,Second-Hand Dwelling house /Apartment,,0.012695188523549577,6075.0,2017,8,675.0
2021-07-05,"KILCARRIG, BAGENALSTOWN, CARLOW",N/A,Carlow,215000.0,No,No,Second-Hand Dwelling house /Apartment,,0.012695188523549577,29025.000000000004,2021,7,3225.0
2018-11-10,"27 ST ANNES PARK, TURNERS CROSS, CORK",N/A,Cork,243000.0,No,No,Second-Hand Dwelling house /Apartment,,0.012695188523549577,32805.0,2018,11,3645.0
2017-11-24,"KNOCKROE, GEEVAGH, CO SLIGO",N/A,Sligo,110000.0,No,No,Second-Hand Dwelling house /Apartment,,0.012695188523549577,14850.000000000002,2017,11,1650.0
2015-03-27,"APT 311 PIER HEAD, ALLINS QUAY, YOUGHAL",N/A,Cork,60000.0,No,No,Second-Hand Dwelling house /Apartment,,0.012695188523549577,8100.000000000001,2015,3,900.0
2020-02-01,"12 WHITECLIFF, WHITECHURCH RD, RATHFARNHAM,Dublin 16",Dublin 16,Dublin,565000.0,No,No,Second-Hand Dwelling house /Apartment,,0.012695188523549577,76275.0,2020,2,7062.5
2015-06-10,"89 BARTON DR, RATHFARNHAM,,Dublin 14",Dublin 14,Dublin,431250.0,No,No,Second-Hand Dwelling house /Apartment,,0.012695188523549577,58218.75000000001,2015,6,6468.75
2014-07-03,"100 Tarmon Manor, Castlerea, Co. Roscommon",N/A,Roscommon,41000.0,No,Yes,New Dwelling house /Apartment,greater than or equal to 125 sq metres,0.06341154090044387,0.0,2014,7,615.0
2018-12-18,"46 COLLEGE VALE, MULLINGAR, CO WESTMEATH",N/A,Westmeath,240000.0,No,No,Second-Hand Dwelling house /Apartment,,0.012695188523549577,32400.000000000004,2018,12,3600.0
2012-08-31,"50 Ashgrove, Kill Avenue, Dun Laoghaire",N/A,Dublin,170000.0,No,No,Second-Hand Dwelling house /Apartment,,0.012695188523549577,22950.0,2012,8,2550.0
2020-03-19,"COLEHILL, KINNEGAD, MEATH",N/A,Meath,180000.0,No,No,Second-Hand Dwelling house /Apartment,,0.012695188523549577,24300.0,2020,3,2700.0
2017-12-15,"73 Millers Court, Old Quarter, Ballincollig",N/A,Cork,290748.89,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,0.06341154090044387,0.0,2017,12,4361.23335
2015-04-16,"49 Woodford Court, Clondalkin,,Dublin 22",Dublin 22,Dublin,165000.0,No,No,Second-Hand Dwelling house /Apartment,,0.012695188523549577,22275.0,2015,4,2475.0
2012-02-17,"Ross, The Glens, Birr",N/A,Offaly,135000.0,No,No,Second-Hand Dwelling house /Apartment,,0.012695188523549577,18225.0,2012,2,2025.0
2017-06-22,"204 ST HELENS BAY, KILRANE, ROSSLARE HARBOUR",N/A,Wexford,99500.0,No,No,Second-Hand Dwelling house /Apartment,,0.012695188523549577,13432.5,2017,6,1492.5
2021-05-20,"79 ROCKFIELD MANOR, HOEYS LANE, DUNDALK",N/A,Louth,171000.0,No,No,Second-Hand Dwelling house /Apartment,,0.012695188523549577,23085.0,2021,5,2565.0
2012-12-21,"7 Dr. Mannix Road, Salthill",N/A,Galway,300000.0,No,No,Second-Hand Dwelling house /Apartment,,0.012695188523549577,40500.0,2012,12,4500.0
2018-05-15,"APT 1, CHURCH ST, CLOYNE",N/A,Cork,75000.0,No,No,Second-Hand Dwelling house /Apartment,,0.012695188523549577,10125.0,2018,5,1125.0
2018-08-30,"UNIT 3A  DWARF OAKS (APT), CHURCH RD, BALLYBRACK",Dublin 15,Dublin,177138.0,No,No,Second-Hand Dwelling house /Apartment,,0.012695188523549577,23913.63,2018,8,2657.0699999999997
2013-12-13,"8 THE COURT, ROBSWALLS, MALAHIDE",N/A,Dublin,265000.0,No,No,Second-Hand Dwelling house /Apartment,,0.012695188523549577,35775.0,2013,12,3975.0
2010-04-23,"Newtown Lane, Falcarragh",N/A,Donegal,160000.0,No,No,Second-Hand Dwelling house /Apartment,,0.012695188523549577,21600.0,2010,4,2400.0
2010-04-27,"Deanhill, Hayes, Navan",N/A,Meath,180000.0,No,No,Second-Hand Dwelling house /Apartment,,0.012695188523549577,24300.0,2010,4,2700.0
2018-02-28,"202 Caislean na hAbhainn, Castletroy",N/A,Limerick,228193.83,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,0.06341154090044387,0.0,2018,2,3422.9074499999997
2019-03-12,"11 THE SQUARE, ANNACOTTY, LIMERICK",N/A,Limerick,190000.0,No,No,Second-Hand Dwelling house /Apartment,,0.012695188523549577,25650.0,2019,3,2850.0
2021-10-22,"2 MALONE PLACE, ATHY, KILDARE",N/A,Kildare,80000.0,Yes,No,Second-Hand Dwelling house /Apartment,,0.012695188523549577,10800.0,2021,10,1200.0
2011-08-24,"The Bungalow, Ballysimon Road, Limerick",N/A,Limerick,170000.0,No,No,Second-Hand Dwelling house /Apartment,,0.012695188523549577,22950.0,2011,8,2550.0
2016-06-09,"15 ABHAINN GLAS, TINNYNAR, EDGEWORTHSTOWN",N/A,Longford,21000.0,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,0.06341154090044387,0.0,2016,6,315.0
2014-03-10,"33 CASTLEPARK, CAHERCONLISH, LIMERICK",N/A,Limerick,20000.0,No,No,Second-Hand Dwelling house /Apartment,,0.012695188523549577,2700.0,2014,3,300.0
2018-04-12,"12 WOODVILLE, LEITRIM VILLAGE, LEITRIM",N/A,Leitrim,143000.0,No,No,Second-Hand Dwelling house /Apartment,,0.012695188523549577,19305.0,2018,4,2145.0
2018-08-22,"EDORAS, RED BOG, TINAHELY",N/A,Wicklow,250000.0,No,No,Second-Hand Dwelling house /Apartment,,0.012695188523549577,33750.0,2018,8,3750.0
2010-01-04,"Cloonlara South, Glenamaddy",N/A,Galway,76338.47,No,No,Second-Hand Dwelling house /Apartment,,0.012695188523549577,10305.69345,2010,1,1145.0770499999999
2015-08-28,"21 STRANDHILL, CLOGHERHEAD, DROGHEDA",N/A,Louth,320000.0,No,No,Second-Hand Dwelling house /Apartment,,0.012695188523549577,43200.0,2015,8,4800.0
2018-12-20,"BALLYSKERDANE, CARRIGNAVAR, CORK",N/A,Cork,220000.0,No,No,Second-Hand Dwelling house /Apartment,,0.012695188523549577,29700.000000000004,2018,12,3300.0
2018-11-16,"10 THE FORGE, LOWER MAIN ST, RUSH",N/A,Dublin,220000.0,No,No,Second-Hand Dwelling house /Apartment,,0.012695188523549577,29700.000000000004,2018,11,3300.0
2017-04-28,"73 CRENIGANS BANOG, MILLTOWN ROAD, ASHBOURNE",N/A,Meath,295154.0,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,0.06341154090044387,0.0,2017,4,4427.3099999999995
2010-08-18,"42  Riasc na Ri, Bothar Stiofan, Galway",N/A,Galway,220000.0,No,No,Second-Hand Dwelling house /Apartment,,0.012695188523549577,29700.000000000004,2010,8,3300.0
2014-09-17,"6 BERWICK HOUSE, COLIEMORE RD, DALKEY",N/A,Dublin,499950.0,No,No,Second-Hand Dwelling house /Apartment,,0.012695188523549577,67493.25,2014,9,7499.25
2018-02-23,"DUNDRUDIAN, PORTNABLAGH, DUNFANAGHY",N/A,Donegal,85000.0,No,No,Second-Hand Dwelling house /Apartment,,0.012695188523549577,11475.0,2018,2,1275.0
2016-09-28,"GARDEN HILL, BALLYSHEEDY, LIMERICK",N/A,Limerick,175000.0,No,No,Second-Hand Dwelling house /Apartment,,0.012695188523549577,23625.0,2016,9,2625.0
2012-04-04,"123 Castleknock Elms, Castleknock,,Dublin 15",Dublin 15,Dublin,185500.0,No,No,Second-Hand Dwelling house /Apartment,,0.012695188523549577,25042.5,2012,4,2782.5
2012-11-06,"6 Priory Rise, Delgany",N/A,Wicklow,265000.0,No,No,Second-Hand Dwelling house /Apartment,,0.012695188523549577,35775.0,2012,11,3975.0
2011-12-01,"13 Countess Grove, Killarney",N/A,Kerry,230000.0,No,No,Second-Hand Dwelling house /Apartment,,0.012695188523549577,31050.000000000004,2011,12,3450.0
2021-06-28,"10 Droim An Oir, Dromin Road, Nenagh",N/A,Tipperary,255000.0,No,Yes,New Dwelling house /Apartment,,0.06341154090044387,0.0,2021,6,3825.0
2017-06-11,"28 HILLCROFT, ST PATRICKS RD, LIMERICK",N/A,Limerick,155000.0,No,No,Second-Hand Dwelling house /Apartment,,0.012695188523549577,20925.0,2017,6,2325.0
2017-07-28,"50 THE FORUM, SANDYFORD,,Dublin 18",Dublin 18,Dublin,367000.0,No,No,Second-Hand Dwelling house /Apartment,,0.012695188523549577,49545.0,2017,7,5505.0
2016-01-12,"55 MOYGLARE VILLAGE, MAYNOOTH, KILDARE",N/A,Kildare,262500.0,Yes,No,Second-Hand Dwelling house /Apartment,,0.012695188523549577,35437.5,2016,1,3937.5
2015-01-05,"7 DOYLE RD, TURNERS CROSS, CORK",N/A,Cork,45000.0,No,No,Second-Hand Dwelling house /Apartment,,0.012695188523549577,6075.0,2015,1,675.0
2020-02-01,"11 WELLINGTON ST, WATERFORD, WATERFORD",N/A,Waterford,60000.0,No,No,Second-Hand Dwelling house /Apartment,,0.012695188523549577,8100.000000000001,2020,2,900.0
2017-02-03,"17 COIS FARRAIGE, BLACKROCK, DUNDALK",N/A,Louth,101321.0,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,0.06341154090044387,0.0,2017,2,1519.815
2012-03-28,"40 Glentaun Close, Ballinasloe",N/A,Galway,90000.0,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,0.06341154090044387,0.0,2012,3,1350.0
2013-12-20,"20 VERNON COURT, CLONTARF,Dublin 3,,Dublin",Dublin 3,Dublin,115000.0,Yes,No,Second-Hand Dwelling house /Apartment,,0.012695188523549577,15525.000000000002,2013,12,1725.0
2013-01-11,"102 Meadowbrook, Mill Road, Corbally",N/A,Limerick,120000.0,No,No,Second-Hand Dwelling house /Apartment,,0.012695188523549577,16200.000000000002,2013,1,1800.0
2021-09-15,"12 The Village Green, The Spa",N/A,Kerry,413719.0,No,Yes,New Dwelling house /Apartment,,0.06341154090044387,0.0,2021,9,6205.785
2011-06-10,"41 Block E3 Ennis House, Clare Village, Clare Hall",N/A,Dublin,159746.0,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,0.06341154090044387,0.0,2011,6,2396.19
2015-12-03,"18 Barretstown Meadows, Roseberry, Newbridge",N/A,Kildare,343612.33,No,Yes,New Dwelling house /Apartment,greater than or equal to 125 sq metres,0.06341154090044387,0.0,2015,12,5154.18495
2019-05-29,"27 Fenton Green, Church Street, Kilcock",N/A,Kildare,311013.22,No,Yes,New Dwelling house /Apartment,,0.06341154090044387,0.0,2019,5,4665.198299999999
2017-03-11,"10 FITZPATRICKS, COTTAGES,,Dublin",N/A,Dublin,240000.0,No,No,Second-Hand Dwelling house /Apartment,,0.012695188523549577,32400.000000000004,2017,3,3600.0
2013-08-16,"8 Manor Lawn, Grange Manor, Ovens",N/A,Cork,170000.0,No,No,Second-Hand Dwelling house /Apartment,,0.012695188523549577,22950.0,2013,8,2550.0
2019-08-16,"1 Somerton mews, Newcastle Road, Lucan",N/A,Dublin,440529.0,No,Yes,New Dwelling house /Apartment,,0.06341154090044387,0.0,2019,8,6607.9349999999995
2020-08-12,"17 Rathborne Mews, Rathborne, Ashtown",N/A,Dublin,361223.0,No,Yes,New Dwelling house /Apartment,,0.06341154090044387,0.0,2020,8,5418.344999999999
2010-07-23,"16 Friar's Lough, Leighlinbridge",N/A,Carlow,210000.0,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,0.06341154090044387,0.0,2010,7,3150.0
2010-10-21,"36 Woodfield, Ballynote West, KIlrush",N/A,Clare,150000.0,No,No,Second-Hand Dwelling house /Apartment,,0.012695188523549577,20250.0,2010,10,2250.0
2018-04-09,"43 ST PATRICKS RD, WALKINSTOWN,,Dublin 12",Dublin 12,Dublin,462000.0,No,No,Second-Hand Dwelling house /Apartment,,0.012695188523549577,62370.00000000001,2018,4,6930.0
2021-02-26,"12 SPRINGFIELD GROVE, ROSSMORE VILLAGE, TIPPERARY TOWN",N/A,Tipperary,210000.0,No,No,Second-Hand Dwelling house /Apartment,,0.012695188523549577,28350.000000000004,2021,2,3150.0
2021-11-10,"104 KICKHAM RD, INCHICORE,,Dublin 8",Dublin 8,Dublin,425000.0,No,No,Second-Hand Dwelling house /Apartment,,0.012695188523549577,57375.00000000001,2021,11,6375.0
2010-06-16,"Derrinkeher, Ballinamore",N/A,Leitrim,52500.0,No,No,Second-Hand Dwelling house /Apartment,,0.012695188523549577,7087.500000000001,2010,6,787.5
2020-11-17,"47 The Hazles, Ballinahinch Woods, Ashford",N/A,Wicklow,348017.0,No,Yes,New Dwelling house /Apartment,,0.06341154090044387,0.0,2020,11,5220.255
2020-05-19,"6 GROTTO TERRACE, KILMUCKRIDGE, WEXFORD",N/A,Wexford,150000.0,No,No,Second-Hand Dwelling house /Apartment,,0.012695188523549577,20250.0,2020,5,2250.0
2014-12-19,"43 VALLEY VIEW, SWORDS,Dublin,,Dublin",N/A,Dublin,240000.0,No,No,Second-Hand Dwelling house /Apartment,,0.012695188523549577,32400.000000000004,2014,12,3600.0
2018-10-12,"127 KILLEEN WOOD, OAKPARK, TRALEE",N/A,Kerry,115000.0,Yes,No,Second-Hand Dwelling house /Apartment,,0.012695188523549577,15525.000000000002,2018,10,1725.0
2021-08-30,"CLOONDARAH, MOUNT TALBOT, ROSCOMMON",N/A,Roscommon,340000.0,No,No,Second-Hand Dwelling house /Apartment,,0.012695188523549577,45900.0,2021,8,5100.0
2020-10-12,"9 The Park, Westfield, Leixlip",N/A,Kildare,365638.0,No,Yes,New Dwelling house /Apartment,,0.06341154090044387,0.0,2020,10,5484.57
2014-03-11,"11 THE RECTORY, ENNISKERRY RD, STEPASIDE,Dublin 18",Dublin 18,Dublin,365000.0,No,No,Second-Hand Dwelling house /Apartment,,0.012695188523549577,49275.0,2014,3,5475.0
2010-07-30,"Kilcrone Cottage, Kilcrone, Cloyne",N/A,Cork,295000.0,No,No,Second-Hand Dwelling house /Apartment,,0.012695188523549577,39825.0,2010,7,4425.0
2016-02-26,"167A FOXROCK CLOSE, FOXROCK,,Dublin 18",Dublin 18,Dublin,415000.0,No,No,Second-Hand Dwelling house /Apartment,,0.012695188523549577,56025.00000000001,2016,2,6225.0
2021-05-02,"1 SPA TERRACE, MALLOW, CORK",N/A,Cork,92000.0,No,No,Second-Hand Dwelling house /Apartment,,0.012695188523549577,12420.0,2021,5,1380.0
2010-06-18,"Wood Road, Ardara",N/A,Donegal,300000.0,No,No,Second-Hand Dwelling house /Apartment,,0.012695188523549577,40500.0,2010,6,4500.0
2016-12-05,"13 BRINKWATER HOUSE, QUINCENTENNIAL DR, SALTHILL",N/A,Galway,95000.0,Yes,No,Second-Hand Dwelling house /Apartment,,0.012695188523549577,12825.0,2016,12,1425.0
2013-10-18,"Cnoc na Carraige, Kilnaseer, Rathdowney",N/A,Laois,187500.0,No,No,Second-Hand Dwelling house /Apartment,,0.012695188523549577,25312.5,2013,10,2812.5
2015-12-11,"AISLING, NEWCASTLE, BLARNEY",N/A,Cork,350000.0,No,No,Second-Hand Dwelling house /Apartment,,0.012695188523549577,47250.0,2015,12,5250.0
2017-09-22,"GORTEENAMUCK, FOXFORD, MAYO",N/A,Mayo,167000.0,No,No,Second-Hand Dwelling house /Apartment,,0.012695188523549577,22545.0,2017,9,2505.0
2014-03-10,"Apt 23 The Oat House, Baker's Yard, Portland Street North",Dublin 1,Dublin,163683.0,No,No,Second-Hand Dwelling house /Apartment,,0.012695188523549577,22097.205,2014,3,2455.245
2019-12-17,"59 Seoid Na Tra, Bettystown",N/A,Meath,281938.0,No,Yes,New Dwelling house /Apartment,,0.06341154090044387,0.0,2019,12,4229.07
2019-06-14,"22 THE COURTYARD, FOTA ISLAND, FOTA",N/A,Cork,230000.0,No,No,Second-Hand Dwelling house /Apartment,,0.012695188523549577,31050.000000000004,2019,6,3450.0
2021-10-11,"30 St. Killian's Glen, Rathdrum",N/A,Wicklow,220220.0,No,Yes,New Dwelling house /Apartment,,0.06341154090044387,0.0,2021,10,3303.2999999999997
2013-10-07,"23  Limeworth, Carriganarra, Carrigrohane",N/A,Cork,515000.0,No,No,Second-Hand Dwelling house /Apartment,,0.012695188523549577,69525.0,2013,10,6437.5
2013-07-03,"23 Pococke Upper, Johnswell Road, Kilkenny",N/A,Kilkenny,120000.0,No,No,Second-Hand Dwelling house /Apartment,,0.012695188523549577,16200.000000000002,2013,7,1800.0
2016-05-25,"5 BALLINTYRE MEADOWS, BALLINTEER,,Dublin 16",Dublin 16,Dublin,75250.0,Yes,No,Second-Hand Dwelling house /Apartment,,0.012695188523549577,10158.75,2016,5,1128.75
2021-11-26,"ORCHARD VILLE, GORMANSTON, MEATH",N/A,Meath,265000.0,No,No,Second-Hand Dwelling house /Apartment,,0.012695188523549577,35775.0,2021,11,3975.0
2018-09-03,"42  The Close, Citywest Village, Citywest",Dublin 24,Dublin,279735.68,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,0.06341154090044387,0.0,2018,9,4196.035199999999
2013-03-27,"37  Crannog, Lagore Road, Dunshaughlin",N/A,Meath,265000.0,No,Yes,New Dwelling house /Apartment,less than 38 sq metres,0.06341154090044387,0.0,2013,3,3975.0
2018-09-27,"18 BRIDGE RD, LISTOWEL, KERRY",N/A,Kerry,97000.0,No,No,Second-Hand Dwelling house /Apartment,,0.012695188523549577,13095.0,2018,9,1455.0
2021-08-19,"CATHEDRAL ST, BALLAGHADEREEN, ROSCOMMON",N/A,Roscommon,78000.0,No,No,Second-Hand Dwelling house /Apartment,,0.012695188523549577,10530.0,2021,8,1170.0
2018-12-20,"7 CLOONE ROAD, FERRYBANK, WATERFORD",N/A,Kilkenny,105000.0,No,No,Second-Hand Dwelling house /Apartment,,0.012695188523549577,14175.000000000002,2018,12,1575.0
2018-10-07,"17 ASHVILLE CLOSE ESKER LANE LUCAN,,Dublin",N/A,Dublin,480000.0,No,No,Second-Hand Dwelling house /Apartment,,0.012695188523549577,64800.00000000001,2018,10,7200.0
2017-02-16,"20 SHENICK RD, SKERRIES,,Dublin",N/A,Dublin,462000.0,No,No,Second-Hand Dwelling house /Apartment,,0.012695188523549577,62370.00000000001,2017,2,6930.0
2018-09-24,"APT.9 - RIVERCOURT, THE DOLMEN HOTEL, CARLOW ROAD",N/A,Carlow,10000.0,No,No,Second-Hand Dwelling house /Apartment,,0.012695188523549577,1350.0,2018,9,150.0
2021-01-29,"7  DODDERBROOK DRIVE, OLDCOURT ROAD, BALLYCULLEN",Dublin 24,Dublin,410000.0,No,No,Second-Hand Dwelling house /Apartment,,0.012695188523549577,55350.00000000001,2021,1,6150.0
2017-12-22,"4 WOODFIELD MEWS, REAR INCHICORE RD, KILMAINHAIM,Dublin 8",Dublin 8,Dublin,370000.0,No,No,Second-Hand Dwelling house /Apartment,,0.012695188523549577,49950.0,2017,12,5550.0
2015-03-25,"COTTAGE 1, HOLYCROSS, THURLES",N/A,Tipperary,115000.0,No,No,Second-Hand Dwelling house /Apartment,,0.012695188523549577,15525.000000000002,2015,3,1725.0
2013-08-30,"Curramore, Lough Mask, Ballinrobe",N/A,Mayo,245000.0,No,No,Second-Hand Dwelling house /Apartment,,0.012695188523549577,33075.0,2013,8,3675.0
2016-04-11,"18 BEAUFIELD PK, STILLORGAN,,Dublin",N/A,Dublin,377000.0,No,No,Second-Hand Dwelling house /Apartment,,0.012695188523549577,50895.0,2016,4,5655.0
2016-10-11,"3 PALLISTER HOUSE, KILLALOE, CO CLARE",N/A,Clare,49000.0,No,No,Second-Hand Dwelling house /Apartment,,0.012695188523549577,6615.0,2016,10,735.0
2019-01-05,"322 CLONTARF ROAD, CLONTARF,,Dublin 3",Dublin 3,Dublin,420000.0,No,No,Second-Hand Dwelling house /Apartment,,0.012695188523549577,56700.00000000001,2019,1,6300.0
2016-01-29,"21 THE CRESCENT, LARCH HILL, OSCAR TRAYNOR RD,Dublin 17",Dublin 17,Dublin,193000.0,No,No,Second-Hand Dwelling house /Apartment,,0.012695188523549577,26055.0,2016,1,2895.0
2021-03-02,"8 OAKLANDS DALE, LONGFORD, LONGFORD",N/A,Longford,95652.0,No,No,Second-Hand Dwelling house /Apartment,,0.012695188523549577,12913.02,2021,3,1434.78
2019-04-16,"LACKAROE, PORTROE, NENAGH",N/A,Tipperary,400000.0,No,No,Second-Hand Dwelling house /Apartment,,0.012695188523549577,54000.0,2019,4,6000.0
2018-09-17,"16 DORAN CLOSE, DRUMACRIN ROAD, BUNDORAN",N/A,Donegal,95000.0,No,No,Second-Hand Dwelling house /Apartment,,0.012695188523549577,12825.0,2018,9,1425.0
2012-01-18,"Bridge View, Virginia",N/A,Cavan,60000.0,No,No,Second-Hand Dwelling house /Apartment,,0.012695188523549577,8100.000000000001,2012,1,900.0
2021-09-24,"95 The Campion, Marina Village, Greystones",N/A,Wicklow,414096.92,No,Yes,New Dwelling house /Apartment,,0.06341154090044387,0.0,2021,9,6211.453799999999
