DateofSale(dd/mm/yyyy),Address,PostalCode,County,Price(€),NotFullMarketPrice,VATExclusive,DescriptionofProperty,PropertySizeDescription
2022-01-17,"27 THE AVENUE, ROYAL OAKS, ENFIELD",,Meath,308370.0,No,Yes,New Dwelling house /Apartment,
2022-01-17,"277 LANDEN RD, BALLYFERMOT, DUBLIN 10",Dublin 10,Dublin,270000.0,No,No,Second-Hand Dwelling house /Apartment,
2022-01-17,"28 CHERRYMOUNT, DONORE ROAD, DROGHEDA",,Louth,250000.0,No,No,Second-Hand Dwelling house /Apartment,
2022-01-17,"28 ESKER MANOR, LUCAN, DUBLIN",,Dublin,317000.0,No,No,Second-Hand Dwelling house /Apartment,
2022-01-17,"28 HAZELWOOD, GOREY, WEXFORD",,Wexford,307500.0,No,No,Second-Hand Dwelling house /Apartment,
2022-01-17,"28 LEEDALE, CAHERSLEE, TRALEE",,Kerry,320000.0,No,No,Second-Hand Dwelling house /Apartment,
2022-01-17,"29 PARK CRESCENT HOUSE, BLACKHORSE AVE, DUBLIN 7",Dublin 7,Dublin,307000.0,No,No,Second-Hand Dwelling house /Apartment,
2022-01-17,"3 ARD AN BHAILE, THE ROCK, KINSALE",,Cork,948500.0,No,No,Second-Hand Dwelling house /Apartment,
2022-01-17,"3 Crosskeys, Academy Street, Kildare",,Kildare,287400.0,No,Yes,New Dwelling house /Apartment,
2022-01-17,"3 HANOVER CRESCENT, BURRIN RD, CARLOW",,Carlow,193000.0,No,No,Second-Hand Dwelling house /Apartment,
2022-01-17,"3 HARBOUR HOUSE, DUNMORE EAST, CO WATERFORD",,Waterford,300000.0,No,No,Second-Hand Dwelling house /Apartment,
2022-01-17,"3 KILLYGARVAN COTTAGES, RATHMULLAN, COUNTY DONEGAL",,Donegal,225000.0,No,No,Second-Hand Dwelling house /Apartment,
2022-01-17,"3 LEAFY HAVEN, WHEATON HALL, DROGHEDA",,Louth,370000.0,No,No,Second-Hand Dwelling house /Apartment,
2022-01-17,"3 WESTCOURT, CAHERSLEE, TRALEE",,Kerry,100000.0,Yes,No,Second-Hand Dwelling house /Apartment,
2022-01-17,"30 FRIARS WALK, DUNMORE, GALWAY",,Galway,160000.0,No,No,Second-Hand Dwelling house /Apartment,
2022-01-17,"30 The Green, Bellingsfield, Kilcullen Road",,Kildare,385903.08,No,Yes,New Dwelling house /Apartment,
2022-01-17,"31 HOLLANDS AVEUNE, KILDARE RD, KILDARE",,Kildare,155000.0,No,No,Second-Hand Dwelling house /Apartment,
2022-01-17,"32 ST JOSEPHS PLACE, NELSON ST, DUBLIN 7",Dublin 7,Dublin,315000.0,No,No,Second-Hand Dwelling house /Apartment,
2022-01-17,"32 WILLINGTON GREEN, TEMPLEOGUE, DUBLIN 6W",,Dublin,572000.0,No,No,Second-Hand Dwelling house /Apartment,
2022-01-17,"321 LANDEN ROAD, BALLYFERMOT, DUBLIN 10",Dublin 10,Dublin,280000.0,No,No,Second-Hand Dwelling house /Apartment,
2022-01-17,"33 THE ORCHARD, BALLYMAHON ROAD, ATHLONE",,Westmeath,230000.0,No,No,Second-Hand Dwelling house /Apartment,
2022-01-17,"35 TARMON MANOR, BALLINDRIMLEY, CASTLEREA",,Roscommon,150000.0,No,No,Second-Hand Dwelling house /Apartment,
2022-01-17,"37 ST JAMES'S ROAD, GREENHILLS, DUBLIN 12",Dublin 12,Dublin,365000.0,No,No,Second-Hand Dwelling house /Apartment,
2022-01-17,"39 GRATTAN PARK, SALTHILL, GALWAY",,Galway,740000.0,No,No,Second-Hand Dwelling house /Apartment,
2022-01-17,"4  The Park, City West Village, City West",,Dublin,356828.19,No,Yes,New Dwelling house /Apartment,
2022-01-17,"4 CIRCULAR ROAD, SWINFORD, MAYO",,Mayo,200000.0,No,No,Second-Hand Dwelling house /Apartment,
2022-01-17,"4 HAWTHORN DR, BELLFIELD, FERRYBANK",,Kilkenny,232000.0,No,No,Second-Hand Dwelling house /Apartment,
2022-01-17,"4 KILLYGARVEN COTTAGES, RATHMULLAN, DONEGAL",,Donegal,112500.0,No,No,Second-Hand Dwelling house /Apartment,
2022-01-17,"4 LEO MURPHY TERRACE, BALLINCOLLIG, CORK",,Cork,245000.0,No,No,Second-Hand Dwelling house /Apartment,
2022-01-17,"4 NEWTOWN MEWS, SUMMERHILL, TRAMORE",,Waterford,100000.0,Yes,No,Second-Hand Dwelling house /Apartment,
2022-01-17,"4 THE DRIVE, OCEAN VIEW, STRANDHILL",,Sligo,420000.0,No,No,Second-Hand Dwelling house /Apartment,
2022-01-17,"40 DERRYBEG, EDENDERRY, OFFALY",,Offaly,185000.0,No,No,Second-Hand Dwelling house /Apartment,
2022-01-17,"40 LA VALLEE, UPPER DARGLE RD, BRAY",,Wicklow,286000.0,No,No,Second-Hand Dwelling house /Apartment,
2022-01-17,"43 HEATHFIELD, KINNEGAD, WESTMEATH",,Westmeath,9091.5,Yes,No,Second-Hand Dwelling house /Apartment,
2022-01-17,"43 Ridewood Manor, Melitta Road, Kildare",,Kildare,259911.89,No,Yes,New Dwelling house /Apartment,
2022-01-17,"46 CASTLEGROVE, BALLYMORE, SLIGO",,Sligo,120000.0,No,No,Second-Hand Dwelling house /Apartment,
2022-01-17,"47 Carrigbeg, Meadowlands, Masseytown",,Cork,215854.0,No,Yes,New Dwelling house /Apartment,
2022-01-17,"47 THE BEECHES, CHURCHQUARTER, GRANARD",,Longford,167500.0,No,No,Second-Hand Dwelling house /Apartment,
2022-01-17,"49 FERDIA PARK, ARDEE, LOUTH",,Louth,185000.0,No,No,Second-Hand Dwelling house /Apartment,
2022-01-17,"49 MILL HOUSE, MILL RD, ENNIS",,Clare,125000.0,No,No,Second-Hand Dwelling house /Apartment,
2022-01-17,"5 BELARMINE CLOSE, STEPASIDE, DUBLIN 18",Dublin 18,Dublin,585000.0,No,No,Second-Hand Dwelling house /Apartment,
2022-01-17,"5 CINNAMON WHARF, THE QUAY, WESTPORT",,Mayo,160000.0,No,No,Second-Hand Dwelling house /Apartment,
2022-01-17,"5 GILBERT ROAD, OFF SOUTH CIRCULAR ROAD, DUBLIN 8",Dublin 8,Dublin,652500.0,No,No,Second-Hand Dwelling house /Apartment,
2022-01-17,"5 MANOR AVE, MARYBOROUGH RIDGE, DOUGLAS",,Cork,475000.0,No,No,Second-Hand Dwelling house /Apartment,
2022-01-17,"5 SANDYFORD HALL CLOSE, DUBLIN 18, DUBLIN",Dublin 18,Dublin,560000.0,No,No,Second-Hand Dwelling house /Apartment,
2022-01-17,"5 Whitethorn Court, Whitethorn Village, Naas",,Kildare,351541.84,No,Yes,New Dwelling house /Apartment,
2022-01-17,"50 PARSONS HALL, MAYNOOTH, KILDARE",,Kildare,860000.0,No,No,Second-Hand Dwelling house /Apartment,
2022-01-17,"53 CLUAIN GLAS, BRITTAS RD, THURLES",,Tipperary,242500.0,No,No,Second-Hand Dwelling house /Apartment,
2022-01-17,"53 THORNVILLE AVENUE, DUBLIN 5, DUBLIN",,Dublin,295000.0,No,No,Second-Hand Dwelling house /Apartment,
2022-01-17,"54 CHERRYWOOD CRESCENT, CLONDALKIN, DUBLIN 22",Dublin 22,Dublin,275000.0,No,No,Second-Hand Dwelling house /Apartment,
2022-01-17,"54 GRANGE PARK, DOUGLAS, CORK",,Cork,295000.0,No,No,Second-Hand Dwelling house /Apartment,
2022-01-17,"57 BIANCONI WAY, RIDGE RD, PORTLAOISE",,Laois,194800.0,No,No,Second-Hand Dwelling house /Apartment,
2022-01-17,"6 GORT AND DUIN, ORANHILL, ORANMORE",,Galway,455000.0,No,No,Second-Hand Dwelling house /Apartment,
2022-01-17,"6 GREENFIELD MANOR, DONNYBROOK, DUBLIN 4",Dublin 4,Dublin,775000.0,No,No,Second-Hand Dwelling house /Apartment,
2022-01-17,"6 MILL CROSS CRESCENT, ATHLONE, CO ROSCOMMON",,Roscommon,280000.0,No,No,Second-Hand Dwelling house /Apartment,
2022-01-17,"7 BEECHPARK AVE, CASTLEKNOCK, DUBLIN 15",Dublin 15,Dublin,945000.0,No,No,Second-Hand Dwelling house /Apartment,
2022-01-17,"7 STRAFFAN LAWN, MAYNOOTH, KILDARE",,Kildare,249000.0,No,No,Second-Hand Dwelling house /Apartment,
2022-01-17,"7 TIVOLI TERRACE, CAPPOQUIN, CO WATERFORD",,Waterford,120000.0,No,No,Second-Hand Dwelling house /Apartment,
2022-01-17,"76 RED ARCHES AVE, THE COAST, BALDOYLE DUBLIN 13",Dublin 13,Dublin,352000.0,No,No,Second-Hand Dwelling house /Apartment,
2022-01-17,"79 ATHLUMNEY CASTLE, NAVAN, MEATH",,Meath,340000.0,No,No,Second-Hand Dwelling house /Apartment,
2022-01-17,"8 CASTLEHILL, CASTLEREA, ROSCOMMON",,Roscommon,110000.0,No,No,Second-Hand Dwelling house /Apartment,
2022-01-17,"80 SESKIN VIEW RD, TALLAGHT, DUBLIN 24",Dublin 24,Dublin,274000.0,No,No,Second-Hand Dwelling house /Apartment,
2022-01-17,"84 Cedar Walk, Castleoaks, Dublin Road",,Carlow,211409.69,No,Yes,New Dwelling house /Apartment,
2022-01-17,"88 CLONSHAUGH AVENUE, COOLOCK, DUBLIN 7",Dublin 17,Dublin,320000.0,No,No,Second-Hand Dwelling house /Apartment,
2022-01-17,"9 BUTLER PLACE, LAKESIDE, KILKENNY",,Kilkenny,181000.0,No,No,Second-Hand Dwelling house /Apartment,
2022-01-17,"9 GREYGATES, MOUNT MERRION",,Dublin,1600000.0,No,No,Second-Hand Dwelling house /Apartment,
2022-01-17,"95 WILLOW PARK, CLONMEL, TIPPERARY",,Tipperary,220000.0,No,No,Second-Hand Dwelling house /Apartment,
2022-01-17,"APARTMENT 5, ROCK HOUSE, SLANE",,Meath,110000.0,No,No,Second-Hand Dwelling house /Apartment,
2022-01-17,"APT 1 FLOOR 4, ST AUGUSTINE COURT, ST AUGUSTINE ST",,Galway,60000.0,Yes,No,Second-Hand Dwelling house /Apartment,
2022-01-17,"APT 1 ST LAURENCE COURT, ST LAURENCE ROAD, CLONTARF",,Dublin,215000.0,No,No,Second-Hand Dwelling house /Apartment,
2022-01-17,"APT 1, CHAPEL ST, SWINFORD",,Mayo,66000.0,No,No,Second-Hand Dwelling house /Apartment,
2022-01-17,"APT 2, CATHERINES CLOSE, CATHERINE ST",,Waterford,121000.0,No,No,Second-Hand Dwelling house /Apartment,
2022-01-17,"APT 34, ST JAMES GATE, ANNE ST",,Waterford,110000.0,No,No,Second-Hand Dwelling house /Apartment,
2022-01-17,"APT 35, ST JAMES GATE, ANNE ST",,Waterford,115000.0,No,No,Second-Hand Dwelling house /Apartment,
2022-01-17,"APT 3, PUNCHES CLOSE, ROSBRIEN RD",,Limerick,135000.0,No,No,Second-Hand Dwelling house /Apartment,
2022-01-17,"APT 5 REEVES HALL, RUTHLAND ST, CORK",,Cork,170000.0,No,No,Second-Hand Dwelling house /Apartment,
2022-01-17,"BREAGHY, CASTLEFIN, CO DONEGAL",,Donegal,40000.0,No,No,Second-Hand Dwelling house /Apartment,
2022-01-17,"CAHERKELLY, LABANE, ARDRAHAN",,Galway,340000.0,No,No,Second-Hand Dwelling house /Apartment,
2022-01-17,"CAMPHIRE, CAPPOQUIN, CO WATERFORD",,Waterford,130000.0,No,No,Second-Hand Dwelling house /Apartment,
2022-01-17,"CHRISTATATE ARD AOIBHINN, CLONMORE, CARLOW",,Carlow,275000.0,No,No,Second-Hand Dwelling house /Apartment,
2022-01-17,"CLIFF RD, BALLYBUNNION, KERRY",,Kerry,117000.0,No,No,Second-Hand Dwelling house /Apartment,
2022-01-17,"CLOGG LANE, FERRYBANK, ARKLOW",,Wicklow,290000.0,No,No,Second-Hand Dwelling house /Apartment,
2022-01-17,"CLOONMULLEN, LOUGHLYNN, CASTLEREA",,Roscommon,87000.0,No,No,Second-Hand Dwelling house /Apartment,
2022-01-17,"CONOR PASS RD, DINGLE, KERRY",,Kerry,330000.0,No,No,Second-Hand Dwelling house /Apartment,
2022-01-17,"COOLNAGAY, ROSSCARBERY, CORK",,Cork,245000.0,No,No,Second-Hand Dwelling house /Apartment,
2022-01-17,"CORRIGEEN, CASTLETOWN, PORTLAOISE",,Laois,350000.0,No,No,Second-Hand Dwelling house /Apartment,
2022-01-17,"CROSSCHAPEL, BLESSINGTON, WICKLOW",,Wicklow,650000.0,No,No,Second-Hand Dwelling house /Apartment,
2022-01-17,"DOUGH, LAHINCH, CLARE",,Clare,305000.0,No,No,Second-Hand Dwelling house /Apartment,
2022-01-17,"DRUMINISCLIN, CROSSERLOUGH, KILNALECK",,Cavan,335000.0,No,No,Second-Hand Dwelling house /Apartment,
2022-01-17,"DRUMRANE, DROMAHAIR, LEITRIM",,Leitrim,280000.0,No,No,Second-Hand Dwelling house /Apartment,
2022-01-17,"FERNWOOD, RATHDUFF, BAGENALSTOWN",,Carlow,270000.0,No,No,Second-Hand Dwelling house /Apartment,
2022-01-17,"GAOL LANE, DAINGEAN, OFFALY",,Offaly,151000.0,No,No,Second-Hand Dwelling house /Apartment,
2022-01-17,"GARRYNOGHER, CASTLERAHAN, CO. CAVAN",,Cavan,60000.0,No,No,Second-Hand Dwelling house /Apartment,
2022-01-17,"GEARHANEEN, DURRUS, CO CORK",,Cork,350000.0,No,No,New Dwelling house /Apartment,
2022-01-17,"KENNEIGH, CAHERCIVEEN, KERRY",,Kerry,400000.0,No,No,Second-Hand Dwelling house /Apartment,
2022-01-17,"KILLEANY, INIS MOR, ARAN ISLANDS",,Galway,140000.0,No,No,Second-Hand Dwelling house /Apartment,
2022-01-17,"KILLINROAN, MOUNT TEMPLE, MOATE",,Westmeath,285000.0,No,No,Second-Hand Dwelling house /Apartment,
2022-01-17,"KILLOTTERN HILL, OLD KILMEADEN ROAD, WATERFORD",,Waterford,500000.0,No,No,Second-Hand Dwelling house /Apartment,
2022-01-17,"KYLEMAGLUSH, BALLON, CARLOW",,Carlow,70000.0,Yes,No,Second-Hand Dwelling house /Apartment,
2022-01-17,"LISCOOGAN, BALLYVAUGHAN, COUNTY CLARE",,Clare,50000.0,No,No,Second-Hand Dwelling house /Apartment,
2022-01-17,"MAIN ST, KERRYKEEL, CO DONEGAL",,Donegal,160000.0,No,No,Second-Hand Dwelling house /Apartment,
2022-01-17,"MAPLE LOUNGE, BARLEY HILL, WESTPORT",,Mayo,359000.0,No,No,Second-Hand Dwelling house /Apartment,
2022-01-17,"MOURNEEN, CLEGGAN, CONNEMARA",,Galway,200000.0,No,No,Second-Hand Dwelling house /Apartment,
2022-01-17,"NEW STREET, VIRGINIA, CO.CAVAN",,Cavan,420000.0,No,No,Second-Hand Dwelling house /Apartment,
2022-01-17,"NO 1 NEW CATHERINE ST, YOUGHAL, CO CORK",,Cork,59835.0,No,No,Second-Hand Dwelling house /Apartment,
2022-01-17,"NO. 2 DR. CROKE PLACE, CLONMEL, CO. TIPPERARY",,Tipperary,165000.0,No,No,Second-Hand Dwelling house /Apartment,
2022-01-17,"No. 35 Cluain Lárach, Knockenduff, Tramore",,Waterford,253304.0,No,Yes,New Dwelling house /Apartment,
2022-01-17,"No.2, Lynnwood, Silchester Park",,Dublin,879295.15,No,Yes,New Dwelling house /Apartment,
2022-01-17,"PARK BREE ENNISCORTHY, ENNISCORTHY, WEXFORD",,Wexford,343000.0,No,No,Second-Hand Dwelling house /Apartment,
2022-01-17,"RIVERGLORE HOUSE, RATHCREEVA, CASTLEPOLLARD",,Westmeath,500000.0,No,No,Second-Hand Dwelling house /Apartment,
2022-01-17,"SCHOLARSTOWN HOUSE, SCHOLARSTOWN RD, TEMPLEOGUE DUBLIN 16",Dublin 16,Dublin,1100000.0,No,No,Second-Hand Dwelling house /Apartment,
2022-01-17,"SERENITY COTTAGE, UPPER SHRAH, CARRACASTLE",,Mayo,80000.0,No,No,Second-Hand Dwelling house /Apartment,
2022-01-17,"SHANCO, EMYVALE, MONAGHAN",,Monaghan,240000.0,No,No,Second-Hand Dwelling house /Apartment,
2022-01-17,"SLIEVE, THE SPA, TRALEE",,Kerry,80000.0,No,No,Second-Hand Dwelling house /Apartment,
2022-01-17,"ST PATRICK ST, CASTLEREA, CO ROSCOMMON",,Roscommon,54000.0,No,No,Second-Hand Dwelling house /Apartment,
2022-01-17,"TARA, PRIOR PARK RD, CLONMEL",,Tipperary,420000.0,No,No,Second-Hand Dwelling house /Apartment,
2022-01-17,"THE BUNGALOW, KILKENNY RD, BENNETTSBRIDGE",,Kilkenny,125000.0,No,No,Second-Hand Dwelling house /Apartment,
2022-01-17,"THE CRESCENT, BOYLE, CO ROSCOMMON",,Roscommon,135000.0,No,No,Second-Hand Dwelling house /Apartment,
2022-01-17,"THE PADDOCKS, BALLYALLA, GROVE",,Clare,700000.0,No,No,Second-Hand Dwelling house /Apartment,
2022-01-17,"THE SQUARE, BALLYHAISE, CAVAN",,Cavan,135000.0,No,No,Second-Hand Dwelling house /Apartment,
2022-01-17,"TOORCOMMONS, BALLYNACARGY, WESTMEATH",,Westmeath,320000.0,No,No,Second-Hand Dwelling house /Apartment,
2022-01-17,"TOWNHOUSE NO. 163, THE GLEN, KILNACOURT WOODS  PORTARLINGTON",,Laois,253000.0,No,No,Second-Hand Dwelling house /Apartment,
2022-01-17,"WILLOW, DEERPARK RD, LISMORE",,Waterford,310000.0,No,No,Second-Hand Dwelling house /Apartment,
2022-01-17,"WINDSOR, 3 TICKNOCK CLOSE, FERRYBANK",,Wicklow,295000.0,No,No,Second-Hand Dwelling house /Apartment,
2022-01-18,"1 DISWELLSTOWN CHASE, CASTLEKNOCK, DUBLIN15",Dublin 15,Dublin,570000.0,No,No,Second-Hand Dwelling house /Apartment,
2022-01-18,"1 WOLFE TONE MEWS, LIMERICK, LIMERICK",,Limerick,180000.0,No,No,Second-Hand Dwelling house /Apartment,
2022-01-18,"10 BEECH DR, CARRICKMACROSS, MONAGHAN",,Monaghan,258000.0,No,No,Second-Hand Dwelling house /Apartment,
2022-01-18,"10 CORNERPARK GREEN, PEAMOUNT ROAD, NEWCASTLE",,Dublin,361233.0,No,Yes,New Dwelling house /Apartment,
2022-01-18,"10 ENDSLEIGH, DOUGLAS RD, CORK",,Cork,530000.0,No,No,Second-Hand Dwelling house /Apartment,
2022-01-18,"10 ORCHARD WAY, OAKVIEW VILLAGE, TRALEE",,Kerry,212000.0,No,No,Second-Hand Dwelling house /Apartment,
